company_name,mission_category,website,ats_type,ats_slug
CGD,eu_mission_tech,https://www.cgdev.org,,
Center for Global Development,eu_mission_tech,https://www.cgdev.org,,
ODI,eu_mission_tech,https://odi.org,,
Chatham House,eu_mission_tech,https://www.chathamhouse.org,,
ECFR,eu_mission_tech,https://ecfr.eu,,
Bruegel,eu_mission_tech,https://www.bruegel.org,,
CEPS,eu_mission_tech,https://www.ceps.eu,,
EIT,eu_mission_tech,https://eit.europa.eu,,
EIT Digital,eu_mission_tech,https://www.eitdigital.eu,,
Nesta,eu_mission_tech,https://www.nesta.org.uk,,
Demos Helsinki,eu_mission_tech,https://demoshelsinki.fi,,
Sitra,eu_mission_tech,https://www.sitra.fi,,
Vinnova,eu_mission_tech,https://www.vinnova.se,,
Business Finland,eu_mission_tech,https://www.businessfinland.fi,,
Innovation Norway,eu_mission_tech,https://www.innovasjonnorge.no,,
Enterprise Ireland,eu_mission_tech,https://www.enterprise-ireland.com,,
Bpifrance,eu_mission_tech,https://www.bpifrance.fr,,
KFW,eu_mission_tech,https://www.kfw.de,,
EIB,eu_mission_tech,https://www.eib.org,,
EBRD,eu_mission_tech,https://www.ebrd.com,,
Council of Europe,eu_mission_tech,https://www.coe.int,,
OSCE,eu_mission_tech,https://www.osce.org,,
Frontex,eu_mission_tech,https://www.frontex.europa.eu,,
Europol,eu_mission_tech,https://www.europol.europa.eu,,
ENISA,eu_mission_tech,https://www.enisa.europa.eu,,
EU-LISA,eu_mission_tech,https://www.eulisa.europa.eu,,
ECDC,eu_mission_tech,https://www.ecdc.europa.eu,,
EMA,eu_mission_tech,https://www.ema.europa.eu,,
EFSA,eu_mission_tech,https://www.efsa.europa.eu,,
ECHA,eu_mission_tech,https://echa.europa.eu,,
